agegroup,gender,prov_c,can_10ar,can_25ar,can_17r
15 to 19 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
65 years old and older,Female,British Columbia,Valid skip,Valid skip,Valid skip
45 to 54 years old,Male,Alberta,Not at all,Valid skip,Valid skip
20 to 24 years old,Female,Alberta,Not at all,Not at all,Valid skip
20 to 24 years old,Female,Ontario,Not at all,Valid skip,Valid skip
20 to 24 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
55 to 64 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
20 to 24 years old,Female,Quebec,"Less than once a week, but at least once in the past month",Valid skip,Not at all
15 to 19 years old,Female,Alberta,Valid skip,Valid skip,Valid skip
15 to 19 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
25 to 34 years old,Male,Quebec,Not at all,Valid skip,Valid skip
20 to 24 years old,Male,British Columbia,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,New Brunswick,Valid skip,Valid skip,Valid skip
55 to 64 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
15 to 19 years old,Male,Manitoba,Valid skip,Valid skip,Valid skip
65 years old and older,Male,Manitoba,Valid skip,Valid skip,Valid skip
55 to 64 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
65 years old and older,Male,British Columbia,Valid skip,Valid skip,Valid skip
15 to 19 years old,Female,New Brunswick,Valid skip,Valid skip,Valid skip
15 to 19 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
45 to 54 years old,Male,New Brunswick,Not at all,Daily,Valid skip
65 years old and older,Female,Manitoba,Valid skip,Valid skip,Valid skip
35 to 44 years old,Female,Ontario,Valid skip,Valid skip,Valid skip
15 to 19 years old,Male,Ontario,Daily,"Less than once a week, but at least once in the past month",At least once in the past 30 days
65 years old and older,Female,New Brunswick,Valid skip,Valid skip,Valid skip
65 years old and older,Male,Ontario,Valid skip,Valid skip,Valid skip
15 to 19 years old,Female,Manitoba,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
20 to 24 years old,Female,Ontario,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
20 to 24 years old,Female,Alberta,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,Prince Edward Island,"Less than once a week, but at least once in the past month","Less than once a week, but at least once in the past month",Not at all
15 to 19 years old,Male,Alberta,Valid skip,Valid skip,Valid skip
55 to 64 years old,Male,Ontario,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,Nova Scotia,Daily,"Less than once a week, but at least once in the past month",At least once in the past 30 days
55 to 64 years old,Male,Ontario,Not at all,Valid skip,Valid skip
35 to 44 years old,Male,Ontario,Not at all,Valid skip,Valid skip
45 to 54 years old,Female,Prince Edward Island,Valid skip,Valid skip,Valid skip
20 to 24 years old,Male,Ontario,Not at all,Not at all,Valid skip
15 to 19 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
45 to 54 years old,Male,Quebec,Valid skip,Valid skip,Valid skip
