age_group,gender,province_of_residence,frequency_smoked_cannabis,frequency_vaped_cannabis,frequency_consumed_edibles
15 to 19 years old,Female,Manitoba,Not at all,In the past month,Not at all
35 to 44 years old,Male,New Brunswick,Daily,"Less than daily, but at least once a week",Not at all
20 to 24 years old,Female,New Brunswick,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
35 to 44 years old,Male,New Brunswick,Daily,In the past month,At least once in the past 30 days
25 to 34 years old,Female,Quebec,In the past month,Daily,Not at all
55 to 64 years old,Not stated,Quebec,Daily,In the past month,At least once in the past 30 days
20 to 24 years old,Not stated,Prince Edward Island,Not at all,In the past month,At least once in the past 30 days
55 to 64 years old,Not stated,Manitoba,In the past month,In the past month,At least once in the past 30 days
20 to 24 years old,Male,Nova Scotia,Daily,Daily,Not at all
55 to 64 years old,Male,Quebec,Not at all,In the past month,At least once in the past 30 days
20 to 24 years old,Not stated,Alberta,"Less than once a week, but at least once","Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Male,Nova Scotia,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
25 to 34 years old,Female,Saskatchewan,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
65 years old and older,Female,Prince Edward Island,Not at all,In the past month,Not at all
15 to 19 years old,Female,Ontario,Not at all,"Less than daily, but at least once a week",Not at all
45 to 54 years old,Female,Quebec,In the past month,"Less than once a week, but at least once",Not at all
45 to 54 years old,Male,Prince Edward Island,In the past month,In the past month,At least once in the past 30 days
55 to 64 years old,Male,Saskatchewan,Not at all,Daily,Not at all
25 to 34 years old,Not stated,British Columbia,Not at all,In the past month,At least once in the past 30 days
20 to 24 years old,Male,Saskatchewan,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Female,New Brunswick,Daily,Not at all,Not at all
65 years old and older,Male,Manitoba,"Less than once a week, but at least once",In the past month,Not at all
65 years old and older,Male,Quebec,In the past month,Not at all,Not at all
65 years old and older,Male,Quebec,Daily,Daily,At least once in the past 30 days
65 years old and older,Male,Newfoundland and Labrador,"Less than once a week, but at least once",Daily,Not at all
55 to 64 years old,Male,Ontario,In the past month,Not at all,At least once in the past 30 days
25 to 34 years old,Male,New Brunswick,"Less than daily, but at least once a week",Not at all,Not at all
65 years old and older,Female,Prince Edward Island,In the past month,Daily,Not at all
